Comparison ^nn++++=Comparison
have ^vb+hv+vrb++=have
multiple ^jj+atrb+++=multiple
hypotheses ^nns+nom+++=hypotheses
in ^in++++=in
the ^ati++++=the
introduction ^nn+nom+++=introduction
and ^cc++++=and
multiple ^jj+atrb+++=multiple
tests ^nns++++=tests
described ^vbd+++xvbn+=described
in ^in++++=in
the ^ati++++=the
methods ^nns++++=methods
section ^nn+nom+++=section,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
helpful ^vb+pred+++=helpful
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
which ^wdt+who+whcl++=which
test ^nn++++=test
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done
specifically ^rb++++=specifically
to ^in++++=to
address ^nns+nom+++=address
a ^at++++=a
particular ^jj+atrb+++=particular
hypothesis ^nn++++=hypothesis.
. ^zz++++=EXTRAWORD
Hypothesis ^nn++++=Hypothesis
testing ^vwbg+++xvbg+=testing
has ^vbz+hvz+aux++=has
always ^rb++splt++=always
been ^vprf+ben+aux+xvbnx+=been
presented ^vpsv++agls+xvbnx+=presented
as ^ql++++=as
a ^at++++=a
cornerstone ^nn+++??+=cornerstone
of ^in++++=of
science ^nn+nom+++=science
so ^ql++++=so
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
surprising ^jj+++xvbgx+=surprising
that ^tht+jcmp+++=that
a ^at++++=a
significant ^jj+atrb+++=significant
number ^nn++++=number
of ^in++++=of
science ^nn+nom+++=science
articles ^nns++++=articles
are ^vb+ber+aux++=are
being ^vbg+beg+aux+xvbg+=being
published ^xvbn+++xvbn+=published
without ^in++++=without
clear ^jj+atrb+++=clear
hypotheses ^nns+nom+++=hypotheses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
possible ^jj+atrb+++=possible
positive ^jj+atrb+++=positive
correlation ^nn+nom+++=correlation
between ^in++++=between
a ^at++++=a
journal ^nn++++=journal's
's ^$++++=EXTRAWORD
impact ^nn++++=impact
factor ^nn++++=factor
and ^cc++++=and
hypothesis ^nn++++=hypothesis
testing ^vwbg+++xvbg+=testing
within ^in++++=within
its ^pp$+it+++=its
articles ^nns++++=articles,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
more ^rbr++++=more
study ^nn++++=study
needs ^vb++++=needs
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
In ^to++++=In
order ^vb++++=order
to ^to+vcmp+++=to
test ^vb++++=test
this ^dt+dem+++=this
hypothesis ^nn++++=hypothesis
more ^rbr++++=more
thoroughly ^rb+amp+++=thoroughly
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
important ^jj+pred+++=important
to ^to+jcmp+++=to
use ^vbi++++=use
larger ^jjr+atrb+++=larger
sample ^nn++++=sample
sizes ^nns++++=sizes
and ^cc++++=and
select ^jj+atrb+++=select
articles ^nns++++=articles
from ^in++++=from
additional ^jj+atrb+++=additional
publications ^nns+nom+++=publications
with ^in++++=with
both ^abx++++=both
high ^jj+atrb+++=high
and ^cc+phrs+++=and
low ^jj+atrb+++=low
impact ^nn++++=impact
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
